Bwindi Impenetrable National Park	-1.05	29.71667	1994
Byblos	34.11667	35.65	1984
Béguinages in Flanders	51.03097	4.47375	1998
Cahokia	38.65389	-90.06444	1982
Calakmul	18.105	-89.81056	2002
Cambrai East Military Cemetery	50.1793	3.2622	2023
Cambrai Memorial to the Missing	50.13667	3.01528	2023
Canadian Cemetery No. 2	50.37729	2.76413	2023
Canadian National Vimy Memorial	50.37944	2.77361	2023
Canadian Rocky Mountain Parks World Heritage Site	51.42472	-116.47972	1984
Canaima National Park	5.31934	-61.79535	1994
Canal du Midi	43.61111	1.41833	1996
Cape Floristic Kingdom	-34.16667	18.375	2004
Capital Cities and Tombs of the Ancient Koguryo Kingdom	41.15694	126.18722	2004
Carlsbad Caverns National Park	32.17528	-104.44389	1995
Casas Grandes	30.37583	-107.95556	1998
Casbah of Algiers	36.78333	3.06028	1992
Castel del Monte	41.08475	16.27093	1996
Castillo de San Pedro de la Roca	19.96871	-75.8703	1997
Castles and Town Walls of King Edward in Gwynedd	53.13972	-4.27694	1986
Cat Ba Island	20.8	106.99972	2023
Catalan Romanesque Churches of the Vall de Boí	42.50472	0.80361	2000
Cave of Altamira	43.38333	-4.11667	1985
Cave of Altamira and Paleolithic Cave Art of Northern Spain	43.3825	-4.11611	1985
Cavernas do Peruaçu National Park	-15.12251	-44.32434	2025
Cemetery of Mondement-Montgivroux	48.7865	3.7754	2023
Centennial Hall	51.10694	17.07722	2006
Central Amazon Conservation Complex	-2.33333	-62.0083	2000
Central Highlands of Sri Lanka	7.45245	80.8021	2010
Central Sikhote-Alin	46.68333	136.66111	2001
Central Suriname Nature Reserve	4.0	-56.5	2000
Centro Histórico de Angra do Heroísmo	38.655	-27.22	1983
Cerrado	-14.00569	-47.68461	2001
Chaco Culture World Heritage Site	36.06378	-107.97083	1987
Champaner-Pavagadh Archaeological Park	22.48333	73.53333	2004
Chan Chan	-8.11056	-79.075	1986
Changdeokgung	37.57944	126.99167	1997
Chankillo Archaeoastronomical Complex	-9.5569	-78.2359	2021
Chauvet Cave	44.38812	4.41614	2014
Chavin de Huantar	-9.59277	-77.17845	1985
Chaîne des Puys - Limagne fault tectonic arena	45.77939	2.96511	2018
Chengde Mountain Resort and its outlying temples	40.9875	117.9375	1994
Chhatrapati Shivaji Maharaj Terminus	18.9398	72.8355	2004
Chichen Itza	20.68306	-88.56861	1989
Chief Roi Mata’s Domain	-17.69364	168.23399	2008
China Danxia	28.4219	106.043	2010
Chinese Pavilion at Drottningholm	59.31694	17.87861	1991
