ALS,37.4349,-105.8670,M,San Luis Valley Regional Airport/Bergman Field
ALW,46.0949,-118.2880,M,Walla Walla Regional Airport
AMA,35.2179,-101.7064,M,Rick Husband Amarillo International Airport
AMD,23.0772,72.6347,L,Sardar Vallabh Patel International Airport
AMH,6.0394,37.5905,M,Arba Minch Airport
AMM,31.7226,35.9932,L,Queen Alia International Airport
AMQ,-3.7103,128.0890,L,Pattimura International Airport
AMS,52.3086,4.7639,L,Amsterdam Airport Schiphol
AMV,69.7633,61.5564,M,Amderma Airport
ANC,61.1790,-149.9926,L,Ted Stevens Anchorage International Airport
ANF,-23.4453,-70.4452,L,Andrés Sabella Gálvez International Airport
ANI,61.5816,-159.5430,M,Aniak Airport
ANR,51.1907,4.4632,M,Antwerp International Airport (Deurne)
ANU,17.1367,-61.7927,L,V. C. Bird International Airport
ANV,62.6467,-160.1910,M,Anvik Airport
ANX,69.2952,16.1394,M,Andøya Airport  Andenes
AOE,39.8116,30.5193,L,Hasan Polatkan Airport
AOG,41.1053,122.8540,M,Anshan Teng'ao Airport / Anshan Air Base
AOI,43.6163,13.3623,M,Marche Airport
AOJ,40.7338,140.6895,L,Aomori Airport
AOK,35.4214,27.1460,M,Karpathos Airport
AOO,40.2964,-78.3200,M,Altoona Blair County Airport
AOR,6.1897,100.3980,M,Sultan Abdul Halim Airport
APL,-15.1056,39.2818,L,Nampula Airport
APN,45.0781,-83.5603,M,Alpena County Regional Airport
APO,7.8120,-76.7164,M,Antonio Roldán Betancur Airport
APW,-13.8300,-172.0080,L,Faleolo International Airport
AQA,-21.8120,-48.1330,M,Araraquara Airport
AQG,30.5822,117.0500,M,Anqing Tianzhushan Airport / Anqing North Air Base
AQI,28.3357,46.1271,L,Qaisumah–Hafar Al-Batin International Airport
AQJ,29.6116,35.0181,L,King Hussein International Airport
AQP,-16.3408,-71.5695,L,Rodríguez Ballón International Airport
ARC,68.1147,-145.5790,M,Arctic Village Airport
ARH,64.6003,40.7167,M,Talagi Airport
ARI,-18.3485,-70.3387,M,Chacalluta International Airport
ARK,-3.3678,36.6333,M,Arusha Airport
ARM,-30.5281,151.6170,M,Armidale Airport
ARN,59.6485,17.9288,L,Stockholm-Arlanda Airport
ART,43.9919,-76.0217,M,Watertown International Airport
ARU,-21.1415,-50.4246,M,Araçatuba Airport
ARW,46.1761,21.2643,M,Arad International Airport
ASB,37.9868,58.3610,L,Ashgabat International Airport
ASD,24.6979,-77.7956,M,Andros Town Airport
ASE,39.2232,-106.8690,M,Aspen-Pitkin County Airport (Sardy Field)
ASF,46.2828,48.0105,L,Astrakhan Narimanovo Boris M. Kustodiev International Airpor
ASI,-7.9702,-14.3927,M,RAF Ascension Island
ASJ,28.4306,129.7130,M,Amami Airport
ASM,15.2919,38.9107,M,Asmara International Airport
ASO,10.0185,34.5863,M,Asosa Airport
ASP,-23.8066,133.9034,M,Alice Springs Airport
ASR,38.7704,35.4954,L,Kayseri Erkilet International Airport
ASU,-25.2402,-57.5192,L,Silvio Pettirossi International Airport
ASV,-2.6448,37.2529,M,Amboseli Airport
ASW,23.9611,32.8204,L,Aswan International Airport
ATC,24.6294,-75.6738,M,Arthur's Town Airport
ATH,37.9364,23.9445,L,Athens Eleftherios Venizelos International Airport
ATK,70.4670,-157.4360,M,Atqasuk Edward Burnell Sr Memorial Airport
ATL,33.6367,-84.4281,L,Hartsfield Jackson Atlanta International Airport
